id,profession,image_link,internal_id,name,learned_from,skill_required,action,result
1,Alchemy,imgs/Alchemy/id118.png,id118,"Minor Healing Potion",trainer,1,"Use: Restores 70 to 90 health. ",1
2,Alchemy,imgs/Alchemy/id2454.png,id2454,"Elixir of Lion's Strength",trainer,1,"Use: Increases Strength by 4 for 60 minutes. ",1
3,Alchemy,imgs/Alchemy/id5997.png,id5997,"Elixir of Minor Defense",trainer,1,"Use: Increases armor by 50 for 60 minutes. ",1
4,Alchemy,imgs/Alchemy/id3382.png,id3382,"Weak Troll's Blood Potion",trainer,15,"Use: Regenerate 2 health every 5 sec for 60 minutes. ",1
5,Alchemy,imgs/Alchemy/id2455.png,id2455,"Minor Mana Potion",trainer,25,"Use: Restores 140 to 180 mana. ",1
6,Alchemy,imgs/Alchemy/id2456.png,id2456,"Minor Rejuvenation Potion",trainer,40,"Use: Restores 90 to 150 mana and 90 to 150 health. ",1
7,Alchemy,imgs/Alchemy/id2457.png,id2457,"Elixir of Minor Agility",trainer,50,"Use: Increases Agility by 4 for 60 minutes. ",1
8,Alchemy,imgs/Alchemy/id4596.png,id4596,"Discolored Healing Potion",trainer,50,"Use: Restores 140 to 180 health. ",1
9,Alchemy,imgs/Alchemy/id2458.png,id2458,"Elixir of Minor Fortitude",trainer,50,"Use: Increases the player's maximum health by 27 for 60 minutes. ",1
10,Alchemy,imgs/Alchemy/id858.png,id858,"Lesser Healing Potion",trainer,55,"Use: Restores 140 to 180 health. ",1
11,Alchemy,imgs/Alchemy/id5631.png,id5631,"Rage Potion",trainer,60,"Use: Increases Rage by 20 to 40. ",1
12,Alchemy,imgs/Alchemy/id2459.png,id2459,"Swiftness Potion",trainer,60,"Use: Increases run speed by 50% for 15 seconds. ",1
13,Alchemy,imgs/Alchemy/id3383.png,id3383,"Elixir of Wisdom",trainer,90,"Use: Increases Intellect by 6 for 60 minutes. ",1
14,Alchemy,imgs/Alchemy/id5996.png,id5996,"Elixir of Water Breathing",trainer,90,"Use: Allows the Imbiber to breathe water for 30 minutes. ",1
15,Alchemy,imgs/Alchemy/id6662.png,id6662,"Elixir of Giant Growth",trainer,90,"Use: Your size is increased and your Strength goes up by 8 to match your new size.  Lasts 2 minutes. ",1
16,Alchemy,imgs/Alchemy/id6051.png,id6051,"Holy Protection Potion",trainer,100,"Use: Absorbs 300 to 500 holy damage.  Lasts 60 minutes. ",1
17,Alchemy,imgs/Alchemy/id6372.png,id6372,"Swim Speed Potion",trainer,100,"Use: Increases swim speed by 100% for 20 seconds. ",1
18,Alchemy,imgs/Alchemy/id3384.png,id3384,"Minor Magic Resistance Potion",trainer,110,"Use: Increases your resistance to all schools of magic by 25 for 3 minutes. ",1
19,Alchemy,imgs/Alchemy/id929.png,id929,"Healing Potion",trainer,110,"Use: Restores 280 to 360 health. ",1
20,Alchemy,imgs/Alchemy/id3385.png,id3385,"Lesser Mana Potion",trainer,120,"Use: Restores 280 to 360 mana. ",1
21,Alchemy,imgs/Alchemy/id3386.png,id3386,"Elixir of Poison Resistance",trainer,120,"Use: Imbiber is cured of up to four poisons up to level 60. ",1
